lon,lat,id,estacion,linea
-58.43127386032458,-34.602162229342746,28,ANGEL GALLARDO,B
-58.439771498415524,-34.598967364158774,29,MALABIA - OSVALDO PUGLIESE,B
-58.447573092531215,-34.591718153619787,30,DORREGO,B
-58.42950032329972,-34.615205610331188,41,RIO DE JANEIRO,A
-58.436428528849355,-34.618279967144566,42,ACOYTE,A
-58.441177625110903,-34.620405212858905,43,PRIMERA JUNTA,A
-58.433816250239481,-34.628017548774217,52,JOSE MARIA MORENO,E
-58.442170705965253,-34.63104184216548,53,EMILIO MITRE,E
-58.426789022897225,-34.627015467001989,60,AV. LA PLATA,E
-58.456709797523786,-34.62666659318031,75,CARABOBO,A
-58.448647654026374,-34.623528952889359,76,PUAN,A
